val_loss,val_acc,acc,loss
1.76268432655,0.3733,0.280600000019,1.96261397163
1.67135458221,0.4078,0.361000000019,1.77939586395
1.61122136116,0.4305,0.38941999999,1.7064729068
1.55598150291,0.4483,0.41180000001,1.65026991421
1.53408422356,0.453,0.42520000001,1.61328900764
1.50713847084,0.4714,0.43407999999,1.57818513855
1.47216586857,0.4681,0.444999999981,1.54781195675
1.46104294853,0.4796,0.454520000019,1.52753567558
1.43578021812,0.4874,0.46334000001,1.50373292778
1.4261479187,0.4898,0.47078,1.48241024086
1.42392256546,0.4918,0.4783,1.46620870575
1.39655534325,0.4997,0.480360000019,1.45182959145
1.38818381748,0.5059,0.48640000001,1.43211973572
1.39701608734,0.5003,0.49206,1.4210301461
1.37273294621,0.5051,0.49490000001,1.40998303871
1.36540263596,0.5135,0.49908,1.39508763485
1.36824662361,0.5127,0.504299999981,1.38744184471
1.34674433403,0.5182,0.50994,1.37187423698
1.34723004417,0.5199,0.51144,1.36530273464
1.34888359795,0.5132,0.516200000038,1.35137921669
1.33293414764,0.5255,0.520260000019,1.34308429817
1.34360574379,0.5202,0.52134,1.33465759533
1.33928861313,0.5217,0.525060000019,1.32627487572
1.3319396637,0.5235,0.527000000019,1.31489900551
1.33549998989,0.5192,0.532460000019,1.30767989326
1.31809586201,0.5301,0.535739999962,1.30028714352
1.31155211601,0.5274,0.538000000038,1.28908455406
1.31848999519,0.5312,0.539039999981,1.28622831436
1.31501823521,0.5263,0.54516,1.27440467609
1.29848135223,0.5326,0.54548,1.27278432621
1.29357909451,0.5398,0.54739999999,1.25984185646
1.29357116585,0.5352,0.54946000001,1.25886617542
