val_loss,val_acc,acc,loss
1.46386155262,0.4837,0.36231999999,1.76395908607
1.34981165295,0.5153,0.47668000001,1.45971649075
1.21989617958,0.5622,0.525679999981,1.33519123005
1.16124601784,0.5928,0.554480000038,1.24877667381
1.11340968895,0.61,0.585080000019,1.17135742271
1.08333495016,0.6223,0.605820000019,1.11309122681
1.05524097881,0.6305,0.626039999981,1.05689152466
1.00748775654,0.655,0.643380000038,1.01219882107
0.990446387672,0.6573,0.658599999962,0.975628887253
0.972094190216,0.6602,0.667280000019,0.940575984173
0.956935266113,0.6674,0.678779999962,0.912513728199
0.963604229164,0.669,0.690420000019,0.87961375227
0.950066853714,0.6709,0.699800000019,0.856919251289
0.91754906168,0.6824,0.710060000038,0.829595935249
0.904990296555,0.6898,0.717619999981,0.805814378548
0.900157331085,0.6891,0.723620000038,0.787019257317
0.89538685751,0.6935,0.733300000038,0.762688441315
0.905601007462,0.6887,0.73888,0.739253493366
0.882366834831,0.6953,0.749659999962,0.721106119728
0.901951439667,0.6882,0.752040000019,0.706910370922
0.878963785458,0.6991,0.75928,0.690027296638
0.879817247105,0.6996,0.765460000019,0.670776510849
0.890372930527,0.6932,0.768680000019,0.659149485416
0.86884064312,0.7044,0.772900000038,0.647810823212
0.867874713898,0.7018,0.777679999981,0.631014185696
0.871238106632,0.7053,0.786000000019,0.611389927368
0.861350472641,0.7054,0.78746,0.606441306667
0.861232640839,0.7076,0.792420000019,0.589575183353
0.860768882084,0.7076,0.79536,0.582807076502
0.857056622887,0.7114,0.801119999962,0.567640248957
0.85603590107,0.7148,0.80664,0.554816222858
0.850939319229,0.7095,0.809559999962,0.546888594341
